Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,Postcode,STREET_NAME,Street_In_Postcode
UNIT 3,39-41 MOORBRIDGE ROAD,MAIDENHEAD,BERKSHIRE,,SL6 8LT,,No data available
4 WORKSHOP,PERCY ROAD,DARLINGTON,,,DL3 0RX,PERCY ROAD,True
SAXON HOUSE,HENSON WAY,TELFORD WAY INDUSTRIAL ESTATE,KETTERING,NN16 8PX,NN16 8PX,HENSON WAY,True
1 QUARRY ROAD,NORTHAMPTON,NN5 6NT,,,NN5 6NT,QUARRY ROAD,True
METER R/O UNIT 54 UNKNOWN SUPPLY,DALTON PARK,MURTON,SEAHAM,,SR7 9HU,,No street in address
UNIT 17,MAITLAND ROAD,NEEDHAM MARKET,IPSWICH,IP6 8NZ,IP6 8NZ,MAITLAND ROAD,True
NORTH MALTING THE MALTINGS,FELAW STREET,IPSWICH,IP2 8HD,,IP2 8HD,FELAW STREET,True
19-21 REGENT STREET,,,,CAMBRIDGE,CB2 1AB,REGENT STREET,True
UNIT 3 RIVERSIDE HOUSE,24 LOWER SOUTHEND ROAD,WICKFORD,,,SS11 8AW,LOWER SOUTHEND ROAD,True
WORKSHOP JOHNS AUTOS,TEMPERANCE PLACE,DARLINGTON,,,DL3 6LP,TEMPERANCE PLACE,True
WEMBLEY GARDENS,,CAMBOIS,BLYTH,,NE24 1RZ,WEMBLEY GARDENS,True
SITE 4/5,COQUET ENTERPRISE PARK,AMBLE,MORPETH,,NE65 0PE,COQUET ENTERPRISE PARK,True
SHOP,68 EASTBOURNE ROAD,MIDDLESBROUGH,,,TS5 6QL,EASTBOURNE ROAD,True
UNIT 3,ALBERT ROAD,RUSHDEN,NN10 0BU,,NN10 0BU,ALBERT ROAD,True
3 CARR STREET,BLYTH,,,,NE24 4NG,CARR STREET,True
LINCOLN ROAD,NETTLEHAM,LINCOLN,LN2 2NE,,LN2 2NE,LINCOLN ROAD,True
"1 Church Lane, Field",,,,,CO3 8PB,CHURCH LANE,True
IN WAREHOUSE,ATLAS RD,,LONDON,,NW10 6DD,ATLAS ROAD,False
CHARFLEETS ROAD,,,CANVEY ISLAND,,SS8 0SG,CHARFLEETS ROAD,True
Crackenedge Lane,Dewsbury,West Yorkshire ,,,WF13 1PT,CRACKENEDGE LANE,True
TOILETS & PREMISES,PARK ROAD,ASHINGTON,,,NE63 9NF,,No street in address
SHOP,66 STATION ROAD,UPMINSTER,,,RM14 2TD,STATION ROAD,True
IMPERIAL WAY,,WATFORD,HERTFORDHSIRE,,WD24 4LQ,IMPERIAL WAY,True
Trough Field Supply,Delgate Bank,Weston Hills,SPALDING,,PE12 6DW,DELGATE BANK,True
Brankley House,Plot 6,Far End,Boothby Graffoe,LINCOLN,LN5 0LG,FAR END,True
UNIT 7 CLIFFSIDE TRADE PARK,MOTHERWELL WAY,GRAYS,,,RM20 3XD,MOTHERWELL WAY,True
SOUTHWICK GOLD GLOVES 1ST FLR,24 THE GREEN,SOUTHWICK,SUNDERLAND,,SR5 2JE,THE GREEN,True
5 WOODSIDE PARADE,257 WOODSIDE,LEIGH ON SEA,,,SS9 4SS,WOODSIDE,True
185 FELIXSTOWE ROAD,IPSWICH,IP3 9BJ,,,IP3 9BJ,FELIXSTOWE ROAD,True
2 CORNWALLIS ROAD,,,,LINCOLN,LN3 4PD,CORNWALLIS ROAD,True
RIVERS EDGE HOTEL RIVERSIDE PARK,GREEN LANE,FRIARS GOOSE,GATESHEAD,,NE10 0SB,GREEN LANE,True
METER FOR UNIT 7 & UNIT 8,SOUTHCHURCH ROAD,.,SOUTHEND ON SEA,.,SS1 2PE,SOUTHCHURCH ROAD,True
1A MIDDLESBROUGH ROAD WEST,SOUTH BANK,MIDDLESBROUGH,,,TS6 6NS,MIDDLESBROUGH ROAD,True
N11,Mablethorpe Chalet Park,Links Avenue,MABLETHORPE,,LN12 1QN,LINKS AVENUE,True
1-3 DEWEY ROAD,,,DAGENHAM,,RM10 8AR,DEWEY ROAD,True
UNIT 5,BRINELL WAY,GREAT YARMOUTH,,,NR31 0LU,BRINELL WAY,True
Unit 7,Telford Park,"Telford Road,","Clacton on Sea, Essex",,CO15 4LP,TELFORD ROAD,True
.,.,2 HAMPDEN ROAD,.,HITCHIN,SG4 0LD,HAMPDEN ROAD,True
UNIT 5D INDUSTRIAL ESTATE,GALLAMORE LANE,MARKET RASEN,LN8 3HZ,,LN8 3HZ,GALLAMORE LANE,True
9/10 2ND METER,DEFENDER COURT,SUNDERLAND,,,SR5 3PE,DEFENDER COURT,True
15-17 SHOP,WEST PERCY STREET,NORTH SHIELDS,,,NE29 0AH,WEST PERCY STREET,True
Haigh Street,LIVERPOOL,,,,L3 8NP,HAIGH STREET,True
FACTORY INSHORE FISH & FROZEN FDS,TOD POINT ROAD,REDCAR,,,TS10 5BE,TOD POINT ROAD,True
Glassthorpe Lane,Hill Farm,Trough,Harpole,NORTHAMPTON,NN7 4DU,GLASSTHORPE LANE,True
BLAKE AVENUE,,BARKING,DAGENHAM,,IG11 9RT,BLAKE AVENUE,True
WARWICK HOUSE,48 COLLINGWOOD ROAD,WITHAM,,,CM8 2DZ,COLLINGWOOD ROAD,True
